topic_id,keywords
0,"antes, prazo, chegou, bem, previsto, embalado, entrega, perfeito, parabéns, estipulado, certinho, entregou, data, estado, amei"
1,"bom, atendimento, preço, material, mto, vendedor, comprar, rápido, serviço, custo, mt, dia, acabamento, rapido, prazo"
2,"recomendo, loja, todos, sim, vendedor, sempre, compra, lannister, dentro, nota, certeza, site, compro, problemas, prazo"
3,"ótimo, atendimento, vendedor, custo, serviço, parabéns, preço, benefício, todos, rápido, estado, produto, material, tudo, lindo"
4,"excelente, atendimento, loja, compra, vendedor, parabéns, qualidade, serviço, todos, sempre, material, antes, obrigado, satisfeito, custo"
5,"recebi, ainda, nao, comprei, dia, agora, produtos, pedido, apenas, compra, dois, momento, aguardando, mercadoria, hoje"
6,"entrega, rápida, prazo, rapida, dentro, parabéns, compra, demora, rapidez, loja, dia, eficiente, atraso, feita, preço"
7,"tudo, ok, certo, perfeito, certinho, conforme, correto, veio, combinado, dentro, deu, esperado, ocorreu, bem, compra"
8,"produto, veio, qualidade, conforme, adorei, perfeito, defeito, anunciado, chegou, expectativas, correto, embalado, errado, satisfeita, bonito"
9,"otimo, atendimento, rapida, vendedor, rapido, otima, parabens, serviço, custo, comprar, satisfeito, entrega, beneficio, nota, preço"
10,"entregue, prazo, dentro, antes, pedido, ainda, corretamente, conforme, dia, data, compra, correto, momento, combinado, produto"
11,"gostei, bastante, atendimento, comprar, loja, compra, bem, obrigado, achei, material, parabéns, rápido, rapidez, esperava, bonito"
12,"boa, loja, qualidade, compra, tarde, noite, bonito, material, comprar, rápido, empresa, nota, preço, rapido, bem"
13,"super, rápido, recomendado, adorei, amei, indico, bem, perfeito, satisfeita, rápida, lindo, rapido, parabéns, satisfeito, embalado"
14,"qualidade, ótima, compra, otima, loja, produtos, lindo, material, preço, péssima, sempre, baixa, bonito, amei, todos"
