dominant_topic,topic_name,documents,average_review_score,average_probability,topic_id,keywords
0,Early Delivery,3176,4.2,0.504,0,"antes, prazo, chegou, bem, previsto, embalado, entrega, perfeito, parabéns, estipulado, certinho, entregou, data, estado, amei"
1,Product & Price,3470,4.4,0.735,1,"bom, atendimento, preço, material, mto, vendedor, comprar, rápido, serviço, custo, mt, dia, acabamento, rapido, prazo"
2,Recommendations,2058,4.18,0.686,2,"recomendo, loja, todos, sim, vendedor, sempre, compra, lannister, dentro, nota, certeza, site, compro, problemas, prazo"
3,Customer Service,1832,4.79,0.645,3,"ótimo, atendimento, vendedor, custo, serviço, parabéns, preço, benefício, todos, rápido, estado, produto, material, tudo, lindo"
4,Excellent Shopping Experience,1962,4.83,0.593,4,"excelente, atendimento, loja, compra, vendedor, parabéns, qualidade, serviço, todos, sempre, material, antes, obrigado, satisfeito, custo"
5,Delivery Problems,7596,2.26,0.597,5,"recebi, ainda, nao, comprei, dia, agora, produtos, pedido, apenas, compra, dois, momento, aguardando, mercadoria, hoje"
6,Fast Delivery,3659,3.82,0.569,6,"entrega, rápida, prazo, rapida, dentro, parabéns, compra, demora, rapidez, loja, dia, eficiente, atraso, feita, preço"
7,Everything OK,2438,4.46,0.659,7,"tudo, ok, certo, perfeito, certinho, conforme, correto, veio, combinado, dentro, deu, esperado, ocorreu, bem, compra"
8,Product Quality,4160,2.52,0.633,8,"produto, veio, qualidade, conforme, adorei, perfeito, defeito, anunciado, chegou, expectativas, correto, embalado, errado, satisfeita, bonito"
9,Seller Service,946,4.81,0.703,9,"otimo, atendimento, rapida, vendedor, rapido, otima, parabens, serviço, custo, comprar, satisfeito, entrega, beneficio, nota, preço"
10,Order Fulfillment,3472,3.35,0.585,10,"entregue, prazo, dentro, antes, pedido, ainda, corretamente, conforme, dia, data, compra, correto, momento, combinado, produto"
11,Customer Satisfaction,2088,4.07,0.583,11,"gostei, bastante, atendimento, comprar, loja, compra, bem, obrigado, achei, material, parabéns, rápido, rapidez, esperava, bonito"
12,General Experience,1357,4.12,0.57,12,"boa, loja, qualidade, compra, tarde, noite, bonito, material, comprar, rápido, empresa, nota, preço, rapido, bem"
13,Highly Recommended,2141,4.76,0.47,13,"super, rápido, recomendado, adorei, amei, indico, bem, perfeito, satisfeita, rápida, lindo, rapido, parabéns, satisfeito, embalado"
14,Quality & Purchase,2332,4.14,0.538,14,"qualidade, ótima, compra, otima, loja, produtos, lindo, material, preço, péssima, sempre, baixa, bonito, amei, todos"
